Company,Symbol,JSE code,Sector,Sector inclusion,No code,Drama,Manual,Included
Rand Merchant Investment Holdings Limited,RMI,JSE:RMI,Life Insurance,Yes,Yes,,,
Randgold & Exploration Company Ltd,RNG,JSE:RNG,Mining,No,No,,,
Rare Holdings Limited,RAR,JSE:RAR,Support Services,Yes,Yes,,,
Raubex Group Limited,RBX,JSE:RBX,Construction & Materials,Yes,Yes,,,
RBA Holdings Limited,RBA,JSE:RBA,Real Estate Investment & Services,Yes,Yes,,,
RCL Foods Limited,RCL,JSE:RCL,Food Producers,Yes,Yes,,,
Rebosis Property Fund Limited,REB,JSE:REB,Real Estate Investment Trusts,Yes,Yes,,,
RECM And Calibre Limited,RACP,JSE:RACP,Financial Services,Yes,Yes,,,
Redefine International Plc,RPL,JSE:RPL,Real Estate Investment Trusts,Yes,Yes,,,
Redefine Properties Limited,RDF,JSE:RDF,Real Estate Investment Trusts,Yes,Yes,,,
Reinet Investments SCA,REI,JSE:REI,Financial Services,Yes,Yes,,,
Remgro Limited,REM,JSE:REM,Financial Services,Yes,Yes,,,
Renergen Limited,REN,JSE:REN,Financial Services,Yes,Yes,,,
Resilient REIT Limited,RES,JSE:RES,Real Estate Investment Trusts,Yes,Yes,,,
Resource Generation Limited,RSG,JSE:RSG,#N/A,#N/A,#N/A,,,
Reunert Limited,RLO,JSE:RLO,General Industrials,Yes,Yes,,,
Rex Trueform Clothing Company Ltd,RTO,JSE:RTO,General Retailers,Yes,Yes,,,
RH Bophelo Limited,RHB,JSE:RHB,Health Care Equipment & Services,Yes,Yes,,,
Rhodes Food Group Holdings Limited,RFG,JSE:RFG,Food Producers,Yes,Yes,,,
RMB Holdings Limited,RMH,JSE:RMH,Financial Services,Yes,Yes,,,
Rockcastle Global Real Estate Company Limited,ROC,JSE:ROC,Real Estate Investment & Services,Yes,Yes,,,
Rockwell Diamonds Incorporated,RDI,JSE:RDI,Industrial Metals & Mining,No,No,,,
Rolfes Holdings Limited,RLF,JSE:RLF,Chemicals,Yes,Yes,,,
Royal Bafokeng Platinum Limited,RBP,JSE:RBP,Mining,No,No,,,
SA Corporate Real Estate Limited,SAC,JSE:SAC,Real Estate Investment Trusts,Yes,Yes,,,
Sabvest Limited,SBV,JSE:SBV,Financial Services,Yes,Yes,,,
Sacoil Holdings Limited,SCL,JSE:SCL,Oil & Gas Producers,No,No,,,
Sacoven Plc,SCV,JSE:SCV,Financial Services,Yes,Yes,,,
Safari Investments RSA Limited,SAR,JSE:SAR,Real Estate Investment Trusts,Yes,Yes,,,
Sanlam Limited,SLM,JSE:SLM,Life Insurance,Yes,Yes,,,
Santam Limited,SNT,JSE:SNT,Nonlife Insurance,Yes,Yes,,,
Santova Limited,SNV,JSE:SNV,Industrial Transportation,Yes,Yes,,,
Sappi Limited,SAP,JSE:SAP,Forestry & Paper,Yes,Yes,,,
Sasfin Holdings Limited,SFN,JSE:SFN,Banks,Yes,Yes,,,
Sasol Limited,SOL,JSE:SOL,Oil & Gas Producers,No,No,,,
Schroder European Real Estate Investment Trust plc,SCD,JSE:SCD,Real Estate Investment Trusts,Yes,Yes,,,
Sentula Mining Limited,SNU,JSE:SNU,Oil & Gas Producers,No,No,,,
Sephaku Holdings Limited,SEP,JSE:SEP,Construction & Materials,Yes,Yes,,,
Shoprite Holdings Limited,SHP,JSE:SHP,Food & Drug Retailers,Yes,Yes,,,
Sibanye Gold Limited,SGL,JSE:SGL,Mining,No,No,,,
Silverbridge Holdings Limited,SVB,JSE:SVB,Software & Computer Services,Yes,Yes,,,
Sirius Real Estate Limited,SRE,JSE:SRE,Real Estate Investment & Services,Yes,Yes,,,
South African Coal Mining Holdings Ltd,SAH,JSE:SAH,Oil & Gas Producers,No,No,,,
South Ocean Holdings Limited,SOH,JSE:SOH,Electronic & Electrical Equipment,Yes,Yes,,,
South32 Limited,S32,JSE:S32,Industrial Metals & Mining,No,No,,,
Sovereign Food Investments Limited,SOV,JSE:SOV,Food Producers,Yes,Yes,,,
Spanjaard Limited,SPA,JSE:SPA,Chemicals,Yes,Yes,,,
Spear REIT Limited,SEA,JSE:SEA,Real Estate Investment Trusts,Yes,Yes,,,
Spur Corporation Limited,SUR,JSE:SUR,Travel & Leisure,Yes,Yes,,,
Stadio Holdings Limited,SDO,JSE:SDO,General Retailers,Yes,Yes,,,
Standard Bank Group Limited,SBK,JSE:SBK,Banks,Yes,Yes,,,
Stefanutti Stocks Holdings Ltd,SSK,JSE:SSK,Construction & Materials,Yes,Yes,,,
Steinhoff Africa Retail Limited,SRR,JSE:SRR,General Retailers,Yes,Yes,No,,
Steinhoff International Holdings Limited,SHF,JSE:SHF,Personal Goods,Yes,Yes,,,
Steinhoff International Holdings NV,SNH,JSE:SNH,Personal Goods,Yes,Yes,,,
Stellar Capital Partners Limited,SCP,JSE:SCP,Software & Computer Services,Yes,Yes,,,
Stenprop Limited,STP,JSE:STP,Real Estate Investment & Services,Yes,Yes,,,
Stor-Age Property REIT Limited,SSS,JSE:SSS,Real Estate Investment Trusts,Yes,Yes,,,
StratCorp Limited,STA,JSE:STA,Financial Services,Yes,Yes,,,
Sun International Limited,SUI,JSE:SUI,Travel & Leisure,Yes,Yes,,,
Super Group Limited,SPG,JSE:SPG,General Retailers,Yes,Yes,,,
Sygnia Limited,SYG,JSE:SYG,Financial Services,Yes,Yes,,,
Synergy Income Fund Limited,SGA,JSE:SGA,Real Estate Investment Trusts,Yes,Yes,,,
Taste Holdings Limited,TAS,JSE:TAS,Travel & Leisure,Yes,Yes,,,
Tawana Resources NL,TAW,JSE:TAW,Industrial Metals & Mining,No,No,,,
Telemasters Holdings Limited,TLM,JSE:TLM,Fixed Line Telecommunications,Yes,Yes,,,
Telkom SA SOC Limited,TKG,JSE:TKG,Fixed Line Telecommunications,Yes,Yes,,,
Texton Property Fund Limited,TEX,JSE:TEX,Real Estate Investment Trusts,Yes,Yes,,,
Tharisa Plc,THA,JSE:THA,Mining,No,No,,,
The Bidvest Group Limited,BVT,JSE:BVT,General Industrials,Yes,Yes,,,
The Foschini Group Limited,TFG,JSE:TFG,General Retailers,Yes,Yes,,,
The Pivotal Fund Limited,PIV,JSE:PIV,Real Estate Investment Trusts,Yes,Yes,,,
The SPAR Group Limited,SPP,JSE:SPP,Food & Drug Retailers,Yes,Yes,,,
The Waterberg Coal Company Limited,WCC,JSE:WCC,Mining,No,No,,,
Tiger Brands Limited,TBS,JSE:TBS,Food Producers,Yes,Yes,,,
Tiso Blackstar Group SE,TBG,JSE:TBG,Financial Services,Yes,Yes,,,
Tongaat Hulett Limited,TON,JSE:TON,Food Producers,Yes,Yes,,,
Torre Industries Limited,TOR,JSE:TOR,Support Services,Yes,Yes,,,
Total Client Services Limited,TCS,JSE:TCS,Software & Computer Services,Yes,Yes,,,
Tower Property Fund Limited,TWR,JSE:TWR,Real Estate Investment Trusts,Yes,Yes,,,
Tradehold Limited,TDH,JSE:TDH,Real Estate Investment & Services,Yes,Yes,,,
Trans Hex Group Limited,TSX,JSE:TSX,Mining,No,No,,,
Transaction Capital Limited,TCP,JSE:TCP,Financial Services,Yes,Yes,,,
Transpaco Limited,TPC,JSE:TPC,General Industrials,Yes,Yes,,,
Trellidor Holdings Limited,TRL,JSE:TRL,Construction & Materials,Yes,Yes,,,
Trematon Capital Investments Ltd,TMT,JSE:TMT,Financial Services,Yes,Yes,,,
Trencor Limited,TRE,JSE:TRE,Industrial Transportation,Yes,Yes,,,
Trustco Group Holdings Limited,TTO,JSE:TTO,Financial Services,Yes,Yes,,,
Truworths International Limited,TRU,JSE:TRU,General Retailers,Yes,Yes,,,
Tsogo Sun Holdings Limited,TSH,JSE:TSH,Travel & Leisure,Yes,Yes,,,
Universal Partners Limited,UPL,JSE:UPL,Financial Services,Yes,Yes,,,
Value Group Limited,VLE,JSE:VLE,Travel & Leisure,Yes,Yes,,,
Verimark Holdings Limited,VMK,JSE:VMK,General Retailers,Yes,Yes,,,
VestIN Holdings Limited,VIN,JSE:VIN,Financial Services,Yes,Yes,,,
Visual International Holdings Limited,VIS,JSE:VIS,Real Estate Investment & Services,Yes,Yes,,,
Vodacom Group Limited,VOD,JSE:VOD,Mobile Telecommunications,Yes,Yes,,,
Vukile Property Fund Limited,VKE,JSE:VKE,Real Estate Investment Trusts,Yes,Yes,,,
Vunani Limited,VUN,JSE:VUN,Financial Services,Yes,Yes,,,
W G Wearne Limited,WEA,JSE:WEA,Construction & Materials,Yes,Yes,,,
Wescoal Holdings Limited,WSL,JSE:WSL,Support Services,Yes,Yes,,,
Wesizwe Platinum Limited,WEZ,JSE:WEZ,Mining,No,No,,,
Wilderness Holdings Limited,WIL,JSE:WIL,Travel & Leisure,Yes,Yes,,,
William Tell Holdings Limited,WTL,JSE:WTL,Forestry & Paper,Yes,Yes,,,
Wilson Bayly Holmes-Ovcon Limited,WBO,JSE:WBO,Construction & Materials,Yes,Yes,,,
Winhold Limited,WNH,JSE:WNH,General Industrials,Yes,Yes,,,
Woolworths Holdings Limited,WHL,JSE:WHL,General Retailers,Yes,Yes,,,
Workforce Holdings Limited,WKF,JSE:WKF,Support Services,Yes,Yes,,,
York Timber Holdings Limited,YRK,JSE:YRK,Forestry & Paper,Yes,Yes,,,
ZCI Limited,ZCI,JSE:ZCI,Industrial Metals & Mining,No,No,,,
Zeder Investments Limited,ZED,JSE:ZED,Financial Services,Yes,Yes,,,
