Date,Price,Open,High,Low,Vol,percent
"Nov 25, 2014",50507.59,50815.31,50831.86,50278.11,450.98M,-0.43%
"Nov 24, 2014",50727.22,50711.69,50972.21,50511.56,185.47M,-0.25%
"Nov 21, 2014",50855.09,49515.27,50855.09,49450.01,216.75M,3.21%
"Nov 20, 2014",49272.05,50073.02,50199.03,49216.66,222.70M,-1.75%
"Nov 19, 2014",50150.48,50337.34,50378.64,50006.67,183.87M,-0.44%
"Nov 18, 2014",50372.05,50606.25,50606.25,50188.19,228.29M,-0.28%
"Nov 17, 2014",50511.52,50437.02,50675.47,50354.3,158.54M,-0.17%
"Nov 14, 2014",50598.02,50751.67,50778.88,50360.7,204.90M,0.02%
"Nov 13, 2014",50588.4,50617.06,50748.76,50423.02,171.66M,0.42%
"Nov 12, 2014",50374.85,50422.31,50696.49,50338.59,213.04M,0.04%
"Nov 11, 2014",50355.38,50453.89,50508.93,50308.66,192.28M,-0.25%
"Nov 10, 2014",50484.09,50157.84,50494.88,50100.16,208.81M,0.81%
"Nov 07, 2014",50079.44,49754.11,50281.86,49645.27,209.15M,0.99%
"Nov 06, 2014",49587.24,49685.46,49685.46,49409.15,174.32M,-0.26%
"Nov 05, 2014",49717.07,49869.07,49876.32,49605.97,180.69M,-0.14%
"Nov 04, 2014",49788.32,49955.85,50077.44,49661.38,180.08M,-0.47%
"Nov 03, 2014",50022.64,49682.58,50050.52,49588.62,167.50M,0.60%
"Oct 31, 2014",49722.88,49156.65,49722.88,49126.57,236.50M,2.18%
"Oct 30, 2014",48660.44,48992.51,49149.04,48505.61,206.24M,-0.93%
"Oct 29, 2014",49116.76,48783.66,49162.1,48710.22,199.75M,1.35%
"Oct 28, 2014",48460.93,48219.45,48661.12,48091.58,178.67M,0.85%
"Oct 27, 2014",48051.05,47914.12,48408.71,47674.87,149.62M,0.36%
"Oct 24, 2014",47879.45,47900.21,48039.52,47743.05,156.18M,-0.47%
"Oct 23, 2014",48104.66,47891.99,48104.66,47443.56,162.63M,-0.20%
"Oct 22, 2014",48202.91,48675.74,48704.55,48048.04,178.72M,-0.67%
"Oct 21, 2014",48530.47,47421.05,48606.7,47340.74,204.66M,1.96%
"Oct 20, 2014",47599.25,48046.11,48046.11,47573.15,163.00M,-0.50%
